Wall time,Step,Value
1727506700.7023995,217,nan
1727508017.9071689,218,nan
1727509335.091935,219,nan
1727510579.6084037,220,nan
1727512058.558091,221,nan
1727513529.9099834,222,nan
1727515010.8247411,223,nan
1727516491.5776463,224,nan
1727517955.3559184,225,nan
1727519430.0233028,226,nan
1727520906.2766314,227,nan
1727522225.8779774,228,nan
1727523538.414223,229,nan
1727524851.0497024,230,nan
1727526171.4248323,231,nan
1727527488.1661296,232,nan
1727528803.0424027,233,nan
1727530123.3233328,234,nan
1727531441.242293,235,nan
1727532760.5405514,236,nan
1727534074.454161,237,nan
1727535391.746465,238,nan
1727536714.7376115,239,nan
1727538029.2938313,240,nan
1727539346.1068425,241,nan
1727540663.934098,242,nan
1727541989.2064152,243,nan
1727543305.6307719,244,nan
1727544623.024069,245,nan
1727545940.5825706,246,nan
1727547262.2734876,247,nan
1727548581.1887922,248,nan
1727549895.588055,249,nan
1727551216.3844452,250,nan
1727552535.3746846,251,nan
1727553850.4380767,252,nan
1727555165.6779516,253,nan
1727556482.995464,254,nan
1727557795.1197,255,nan
1727559106.1543229,256,nan
1727560423.8954468,257,nan
1727561739.0730536,258,nan
1727563052.9585207,259,nan
1727564368.161248,260,nan
1727565680.9177868,261,nan
1727567003.9796498,262,nan
1727568324.2365427,263,nan
1727569638.242711,264,nan
1727570953.3565707,265,nan
1727572273.556649,266,nan
1727573590.9860554,267,nan
1727574910.3272817,268,nan
1727576224.247506,269,nan
1727577540.2698133,270,nan
1727578864.6206021,271,nan
1727580177.1197429,272,nan
1727581491.9707348,273,nan
1727582809.366268,274,nan
1727584124.167501,275,nan
1727585439.6951077,276,nan
1727586766.917596,277,nan
1727588074.99024,278,nan
1727589558.245748,279,nan
1727591038.2701864,280,nan
1727592522.3092427,281,nan
1727594008.129382,282,nan
1727595476.9554672,283,nan
1727596966.0354624,284,nan
1727598364.8979595,285,nan
1727599685.9188585,286,nan
1727601009.1058457,287,nan
1727602328.586616,288,nan
1727603651.6013594,289,nan
1727604972.9608948,290,nan
1727606289.6712852,291,nan
1727607605.279663,292,nan
1727608923.56943,293,nan
1727610241.634541,294,nan
1727611562.772278,295,nan
1727612880.9468837,296,nan
1727614199.3512533,297,nan
1727615516.4419,298,nan
1727616834.8735292,299,nan
1727618153.0608518,300,nan
1727619476.8948514,301,nan
1727620795.6370623,302,nan
1727622118.363677,303,nan
1727623436.8979402,304,nan
1727624753.955318,305,nan
1727626071.4178717,306,nan
1727627393.3757539,307,nan
1727628711.0233893,308,nan
1727630027.9923205,309,nan
1727631345.592723,310,nan
1727632666.9588017,311,nan
1727633980.60544,312,nan
1727635297.622979,313,nan
1727636615.6117356,314,nan
1727637934.8618014,315,nan
1727639257.6556976,316,nan
1727640577.8508725,317,nan
1727641899.897053,318,nan
1727643216.3348665,319,nan
1727644535.9476001,320,nan
1727645857.7322202,321,nan
1727647176.6461635,322,nan
1727648495.4373908,323,nan
1727649811.7288537,324,nan
1727651135.830068,325,nan
1727652454.7461693,326,nan
1727653770.63891,327,nan
1727655093.0082464,328,nan
1727656412.2510722,329,nan
1727657730.5609672,330,nan
1727659051.076545,331,nan
1727660374.8232486,332,nan
1727661695.240732,333,nan
1727663022.6562996,334,nan
1727664269.9242036,335,nan
1727665752.486936,336,nan
1727667245.0880513,337,nan
1727668725.7937913,338,nan
1727670212.902576,339,nan
1727671708.7710385,340,nan
1727673185.5720007,341,nan
1727674676.1618545,342,nan
1727675994.0223086,343,nan
1727677314.51261,344,nan
1727678635.7204328,345,nan
1727679960.1625438,346,nan
1727681278.2079782,347,nan
1727682594.9802883,348,nan
1727683914.6660583,349,nan
1727685229.361173,350,nan
1727686547.5340223,351,nan
1727687863.760558,352,nan
1727689178.075254,353,nan
1727690492.425756,354,nan
1727691808.9382865,355,nan
1727693130.9198575,356,nan
1727694449.5323896,357,nan
1727695767.5443995,358,nan
1727697082.3592672,359,nan
1727698405.9835029,360,nan
1727699717.3938823,361,nan
1727701040.3664935,362,nan
1727702361.8702807,363,nan
1727703682.6162777,364,nan
1727704999.105637,365,nan
1727706320.3413014,366,nan
1727707634.3941112,367,nan
1727708952.5798483,368,nan
1727710267.5911233,369,nan
1727711582.7719367,370,nan
1727712897.4422767,371,nan
1727714215.7403681,372,nan
1727715539.587709,373,nan
1727716864.855497,374,nan
1727718182.925738,375,nan
1727719502.2978728,376,nan
1727720822.1787353,377,nan
1727722137.752345,378,nan
1727723454.520475,379,nan
1727724769.7404642,380,nan
1727726081.901208,381,nan
1727727396.610148,382,nan
1727728711.6335495,383,nan
1727730025.7305183,384,nan
1727731341.3965912,385,nan
1727732657.5481813,386,nan
1727733970.6762962,387,nan
1727735287.7094166,388,nan
1727736602.625685,389,nan
1727737917.0887458,390,nan
1727739236.7803822,391,nan
1727740553.2186866,392,nan
1727741885.6511981,393,nan
1727743356.3689914,394,nan
1727744837.6442091,395,nan
1727746320.7915924,396,nan
1727747787.600201,397,nan
1727749275.390815,398,nan
1727750749.4801974,399,nan
1727752129.7686245,400,nan
1727753440.9967525,401,nan
1727754748.403491,402,nan
1727756061.6449654,403,nan
1727757376.6178305,404,nan
1727758689.24591,405,nan
1727760004.152524,406,nan
1727761319.6439474,407,nan
1727762632.5292506,408,nan
1727763944.1025748,409,nan
1727765253.6884542,410,nan
1727766570.0946565,411,nan
1727767884.5405736,412,nan
1727769202.1773512,413,nan
1727770518.4852076,414,nan
1727771834.241694,415,nan
1727773146.2926722,416,nan
1727774462.400939,417,nan
1727775784.8314877,418,nan
1727777123.7633665,419,nan
1727778442.0297132,420,nan
1727779765.045262,421,nan
1727781082.1475987,422,nan
1727782399.1809826,423,nan
1727783711.7954757,424,nan
