Wall time,Step,Value
1727209345.2766345,0,3.021436929702759
1727211156.5668788,1,2.132821798324585
1727212962.4246497,2,1.8089982271194458
1727214606.2405655,3,1.4824364185333252
1727216231.7570567,4,1.3592008352279663
1727217854.6730516,5,1.2770934104919434
1727219473.7020292,6,1.1669573783874512
1727221090.8430023,7,1.100292682647705
1727222704.3965657,8,1.069296956062317
1727224320.7961178,9,1.0295485258102417
1727225935.0495071,10,0.9767956733703613
1727227552.0892084,11,0.9566922783851624
1727229166.034608,12,0.9134950041770935
1727230779.3707607,13,0.8912243843078613
1727232395.2134519,14,0.852380096912384
1727234004.468656,15,0.8632640242576599
1727235615.8376153,16,0.835974931716919
1727237224.421264,17,0.8045458197593689
1727238841.8334177,18,0.8264436721801758
1727240457.3069856,19,0.7928103804588318
1727242073.0910845,20,0.7819200158119202
1727243690.5716004,21,0.7645639777183533
1727245304.8504245,22,0.7673577666282654
1727246911.5464654,23,0.7412604689598083
1727248523.608999,24,0.7381908297538757
1727250129.5452251,25,0.7353479862213135
1727251741.238726,26,0.7270757555961609
1727253355.669237,27,1.1942518949508667
1727254967.954384,28,1.7403812408447266
1727256431.8205276,29,nan
1727257744.4995627,30,nan
1727259056.3053617,31,nan
1727260373.5719833,32,nan
1727261686.7586677,33,nan
1727263007.6397376,34,nan
1727264322.8903801,35,nan
1727265631.6708174,36,nan
1727266943.2271805,37,nan
1727268258.2126634,38,nan
1727269575.45034,39,nan
1727270887.8216453,40,nan
1727272201.3016846,41,nan
1727273511.92707,42,nan
1727274826.9700773,43,nan
1727276137.2892432,44,nan
1727277446.5759628,45,nan
1727278761.9479852,46,nan
1727280024.6647043,47,nan
1727281491.369597,48,nan
1727282954.938448,49,nan
1727284409.3166366,50,nan
1727285877.565046,51,nan
1727287333.9783826,52,nan
1727288798.9538062,53,nan
1727290250.4741955,54,nan
1727291558.9742458,55,nan
1727292876.1449547,56,nan
1727294190.8007407,57,nan
1727295501.9009597,58,nan
1727296808.125802,59,nan
1727298113.3620756,60,nan
1727299428.8526814,61,nan
1727300736.4797144,62,nan
1727302049.3340657,63,nan
1727303358.5973823,64,nan
1727304670.2312338,65,nan
1727305988.5506475,66,nan
1727307302.0922048,67,nan
1727308617.2722497,68,nan
1727309932.7043443,69,nan
1727311249.9796886,70,nan
1727312563.6222544,71,nan
1727313872.9845555,72,nan
1727315185.8469548,73,nan
1727316496.0058832,74,nan
1727317809.8028688,75,nan
1727319130.4441009,76,nan
1727320446.8026805,77,nan
1727321762.804209,78,nan
1727323080.8657293,79,nan
1727324393.2422774,80,nan
1727325706.1915941,81,nan
1727327016.6286263,82,nan
1727328328.9139354,83,nan
1727329640.974992,84,nan
1727330951.498654,85,nan
1727332261.500622,86,nan
1727333568.5347295,87,nan
1727334877.633638,88,nan
1727336186.8684165,89,nan
1727337498.4353821,90,nan
1727338805.662228,91,nan
1727340118.6344385,92,nan
1727341430.5949924,93,nan
1727342739.123659,94,nan
1727344050.598042,95,nan
1727345371.6061773,96,nan
1727346686.9747715,97,nan
1727348008.9661396,98,nan
1727349327.8692234,99,nan
1727350645.310493,100,nan
1727351957.435716,101,nan
1727353272.7608647,102,nan
1727354587.1179338,103,nan
1727355899.4734046,104,nan
1727357199.8941462,105,nan
1727358660.223319,106,nan
1727360131.5226243,107,nan
1727361597.8820503,108,nan
1727363066.5044034,109,nan
1727364538.0013072,110,nan
1727365994.8201635,111,nan
1727367423.1153798,112,nan
1727368737.5341318,113,nan
1727370053.8044722,114,nan
1727371368.8800006,115,nan
1727372681.8650854,116,nan
1727373994.7329369,117,nan
1727375310.211746,118,nan
1727376621.503223,119,nan
1727377935.671122,120,nan
1727379255.1977322,121,nan
1727380575.51818,122,nan
1727381888.4099452,123,nan
1727383198.6440494,124,nan
1727384508.9742458,125,nan
1727385830.2162402,126,nan
1727387146.9701042,127,nan
1727388462.7278206,128,nan
1727389776.6271174,129,nan
1727391088.890724,130,nan
1727392407.6962943,131,nan
1727393725.2274525,132,nan
1727395042.3510535,133,nan
1727396357.5531213,134,nan
1727397670.377111,135,nan
1727398987.6946056,136,nan
1727400306.0637662,137,nan
1727401620.4705865,138,nan
1727402938.0993392,139,nan
1727404253.3148665,140,nan
1727405569.111826,141,nan
1727406890.4321966,142,nan
1727408208.600353,143,nan
1727409528.7013133,144,nan
1727410837.974696,145,nan
1727412154.6732175,146,nan
1727413465.0569158,147,nan
1727414776.8286703,148,nan
1727416088.706891,149,nan
1727417404.8281689,150,nan
1727418719.1645675,151,nan
1727420037.8771296,152,nan
1727421371.8984218,153,nan
1727422695.8102996,154,nan
1727424017.9053485,155,nan
1727425345.7592635,156,nan
1727426661.9819763,157,nan
1727427985.874717,158,nan
1727429303.9840622,159,nan
1727430620.2555647,160,nan
1727431938.209449,161,nan
1727433205.3947277,162,nan
1727434624.4742377,163,nan
1727436102.2463415,164,nan
1727437569.9449613,165,nan
1727439043.5132604,166,nan
1727440518.1126525,167,nan
1727441992.4722157,168,nan
1727443465.9416962,169,nan
1727444839.8157563,170,nan
1727446156.8599331,171,nan
1727447469.6699657,172,nan
1727448787.0786068,173,nan
1727450099.7990258,174,nan
1727451412.9004867,175,nan
1727452721.9235418,176,nan
1727454033.9301593,177,nan
1727455344.1490302,178,nan
1727456657.386122,179,nan
1727457973.4231887,180,nan
1727459293.665129,181,nan
1727460612.1359746,182,nan
1727461928.0011728,183,nan
1727463245.029061,184,nan
1727464558.6538975,185,nan
1727465870.989529,186,nan
1727467194.738329,187,nan
1727468510.3673,188,nan
1727469826.1199334,189,nan
1727471147.56577,190,nan
1727472464.734944,191,nan
1727473779.4929848,192,nan
1727475104.7385988,193,nan
1727476418.881969,194,nan
1727477732.3765903,195,nan
1727479044.520773,196,nan
1727480358.530695,197,nan
1727481674.1234794,198,nan
1727482994.0106823,199,nan
1727484313.3161132,200,nan
1727485627.8009887,201,nan
1727486942.1422474,202,nan
1727488259.38924,203,nan
1727489572.713015,204,nan
1727490891.3928983,205,nan
1727492205.5498729,206,nan
1727493516.725686,207,nan
1727494829.212918,208,nan
1727496148.5358508,209,nan
1727497462.9207656,210,nan
1727498779.3077655,211,nan
1727500104.8806326,212,nan
1727501423.0337977,213,nan
1727502744.0641706,214,nan
1727504062.4699714,215,nan
1727505385.0574126,216,nan
