Wall time,Step,Value
1727209345.2767942,0,13.632612228393555
1727211156.5671296,1,9.603835105895996
1727212962.4248018,2,7.949411392211914
1727214606.2408555,3,10.354879379272461
1727216231.7573168,4,7.233004570007324
1727217854.673275,5,7.4035749435424805
1727219473.7022727,6,8.820550918579102
1727221090.843218,7,9.616564750671387
1727222704.3968234,8,9.608511924743652
1727224320.7963283,9,8.478342056274414
1727225935.050075,10,9.302390098571777
1727227552.089486,11,8.423035621643066
1727229166.0348663,12,9.477486610412598
1727230779.3709545,13,9.380302429199219
1727232395.2137456,14,7.935369491577148
1727234004.4688938,15,9.50328254699707
1727235615.8378432,16,9.429217338562012
1727237224.421486,17,8.811559677124023
1727238841.8337395,18,8.77679443359375
1727240457.3073597,19,8.03984260559082
1727242073.0913455,20,10.092833518981934
1727243690.5718315,21,9.550232887268066
1727245304.8509002,22,7.983300685882568
1727246911.5466685,23,9.757185935974121
1727248523.6092803,24,9.825763702392578
1727250129.5456018,25,8.760343551635742
1727251741.2389407,26,10.219908714294434
1727253355.6694891,27,14.291679382324219
1727254967.9546297,28,11.157759666442871
1727256431.8209999,29,nan
1727257744.4998674,30,nan
1727259056.3055906,31,nan
1727260373.572254,32,nan
1727261686.7588615,33,nan
1727263007.6399705,34,nan
1727264322.8906522,35,nan
1727265631.671092,36,nan
1727266943.2274497,37,nan
1727268258.2130878,38,nan
1727269575.4507415,39,nan
1727270887.821918,40,nan
1727272201.3019223,41,nan
1727273511.927334,42,nan
1727274826.9703383,43,nan
1727276137.2895052,44,nan
1727277446.5761726,45,nan
1727278761.9482265,46,nan
1727280024.664961,47,nan
1727281491.3699684,48,nan
1727282954.9387238,49,nan
1727284409.3167808,50,nan
1727285877.5652642,51,nan
1727287333.9785917,52,nan
1727288798.9540343,53,nan
1727290250.4744246,54,nan
1727291558.9744473,55,nan
1727292876.1452281,56,nan
1727294190.8010397,57,nan
1727295501.901166,58,nan
1727296808.1260006,59,nan
1727298113.3623266,60,nan
1727299428.8529985,61,nan
1727300736.479983,62,nan
1727302049.3343396,63,nan
1727303358.5977635,64,nan
1727304670.231553,65,nan
1727305988.5508757,66,nan
1727307302.0925448,67,nan
1727308617.2724955,68,nan
1727309932.704605,69,nan
1727311249.9799714,70,nan
1727312563.6225598,71,nan
1727313872.9847865,72,nan
1727315185.8472118,73,nan
1727316496.0061102,74,nan
1727317809.8031495,75,nan
1727319130.4442925,76,nan
1727320446.8030324,77,nan
1727321762.8044388,78,nan
1727323080.8660145,79,nan
1727324393.2425642,80,nan
1727325706.1918716,81,nan
1727327016.6289737,82,nan
1727328328.914272,83,nan
1727329640.975213,84,nan
1727330951.4989364,85,nan
1727332261.5008981,86,nan
1727333568.5350175,87,nan
1727334877.6338992,88,nan
1727336186.8687947,89,nan
1727337498.4356503,90,nan
